Channel,Energy(keV),Counts
1,-0.0551,0
2,0.1347,0
3,0.3246,0
4,0.5144,0
5,0.7042,0
6,0.8940,0
7,1.0838,0
8,1.2737,0
9,1.4635,0
10,1.6533,0
11,1.8431,0
12,2.0329,0
13,2.2228,0
14,2.4126,0
15,2.6024,0
16,2.7922,0
17,2.9820,4665
18,3.1719,4479
19,3.3617,4483
20,3.5515,4786
21,3.7413,5531
22,3.9311,5882
23,4.1210,5791
24,4.3108,5527
25,4.5006,5069
26,4.6904,4748
27,4.8802,4487
28,5.0701,4348
29,5.2599,4034
30,5.4497,3914
31,5.6395,3647
32,5.8293,3325
33,6.0192,3150
34,6.2090,2987
35,6.3988,2711
36,6.5886,2688
37,6.7784,2473
38,6.9683,2512
39,7.1581,2340
40,7.3479,2154
41,7.5377,2067
42,7.7275,1949
43,7.9174,1837
44,8.1072,1794
45,8.2970,1675
46,8.4868,1618
47,8.6766,1543
48,8.8665,1447
49,9.0563,1466
50,9.2461,1385
51,9.4359,1341
52,9.6257,1260
53,9.8155,1263
54,10.0054,1182
55,10.1952,1154
56,10.3850,1110
57,10.5748,1117
58,10.7646,1005
59,10.9545,1048
60,11.1443,997
61,11.3341,995
62,11.5239,902
63,11.7137,891
64,11.9035,842
65,12.0934,833
66,12.2832,821
67,12.4730,798
68,12.6628,746
69,12.8526,712
70,13.0425,715
71,13.2323,696
72,13.4221,693
73,13.6119,700
74,13.8017,656
75,13.9915,654
76,14.1814,609
77,14.3712,543
78,14.5610,548
79,14.7508,594
80,14.9406,528
81,15.1305,529
82,15.3203,517
83,15.5101,507
84,15.6999,482
85,15.8897,492
86,16.0795,459
87,16.2694,465
88,16.4592,431
89,16.6490,393
90,16.8388,422
91,17.0286,427
92,17.2184,390
93,17.4083,377
94,17.5981,399
95,17.7879,352
96,17.9777,374
97,18.1675,359
98,18.3573,369
99,18.5472,348
100,18.7370,336
101,18.9268,314
102,19.1166,333
103,19.3064,308
104,19.4963,294
105,19.6861,278
106,19.8759,312
107,20.0657,285
108,20.2555,299
109,20.4453,273
110,20.6352,239
111,20.8250,272
112,21.0148,257
113,21.2046,237
114,21.3944,259
115,21.5842,230
116,21.7740,243
117,21.9639,231
118,22.1537,249
119,22.3435,229
120,22.5333,227
121,22.7231,215
122,22.9129,230
123,23.1028,181
124,23.2926,208
125,23.4824,204
126,23.6722,200
127,23.8620,196
128,24.0518,211
129,24.2417,198
130,24.4315,190
131,24.6213,199
132,24.8111,192
133,25.0009,177
134,25.1907,187
135,25.3806,170
136,25.5704,156
137,25.7602,174
138,25.9500,163
139,26.1398,159
140,26.3296,168
141,26.5194,158
142,26.7093,136
143,26.8991,163
144,27.0889,159
145,27.2787,136
146,27.4685,146
147,27.6583,129
148,27.8482,146
149,28.0380,133
150,28.2278,119
151,28.4176,125
152,28.6074,122
153,28.7972,139
154,28.9870,127
155,29.1769,133
156,29.3667,131
157,29.5565,116
158,29.7463,127
159,29.9361,123
160,30.1259,126
161,30.3157,117
162,30.5056,100
163,30.6954,131
164,30.8852,125
165,31.0750,127
166,31.2648,86
167,31.4546,118
168,31.6444,96
169,31.8343,101
170,32.0241,116
171,32.2139,116
172,32.4037,109
173,32.5935,99
174,32.7833,98
175,32.9731,105
176,33.1630,91
177,33.3528,77
178,33.5426,100
179,33.7324,97
180,33.9222,99
181,34.1120,92
182,34.3018,109
183,34.4917,66
184,34.6815,93
185,34.8713,88
186,35.0611,79
187,35.2509,75
188,35.4407,93
189,35.6305,99
190,35.8203,81
191,36.0102,86
192,36.2000,77
193,36.3898,97
194,36.5796,91
195,36.7694,82
196,36.9592,90
197,37.1490,78
198,37.3389,82
199,37.5287,86
200,37.7185,74
201,37.9083,78
202,38.0981,78
203,38.2879,69
204,38.4777,89
205,38.6675,82
206,38.8574,75
207,39.0472,84
208,39.2370,74
209,39.4268,76
210,39.6166,73
211,39.8064,67
212,39.9962,57
213,40.1860,73
214,40.3759,62
215,40.5657,53
216,40.7555,65
217,40.9453,59
218,41.1351,41
219,41.3249,62
220,41.5147,46
221,41.7045,46
222,41.8944,61
223,42.0842,54
224,42.2740,49
225,42.4638,45
226,42.6536,55
227,42.8434,60
228,43.0332,47
229,43.2230,42
230,43.4129,24
231,43.6027,44
232,43.7925,28
233,43.9823,28
234,44.1721,29
235,44.3619,24
236,44.5517,31
237,44.7415,43
238,44.9314,21
239,45.1212,33
240,45.3110,31
241,45.5008,34
